row_index,fold
0,3
1,3
2,4
3,4
4,0
5,1
6,0
7,3
8,2
9,4
10,4
11,3
12,4
13,4
14,2
15,1
16,1
17,4
18,2
19,3
20,3
21,0
22,2
23,4
24,3
25,1
26,1
27,0
28,2
29,1
30,4
31,1
32,1
33,0
34,3
35,3
36,3
37,0
38,1
39,3
40,0
41,3
42,1
43,4
44,4
45,0
46,4
47,2
48,0
49,2
50,4
51,0
52,4
53,2
54,3
55,1
56,1
57,2
58,4
59,4
60,3
61,0
62,2
63,3
64,1
65,3
66,1
67,0
68,1
69,3
70,4
71,4
72,4
73,0
74,3
75,4
76,0
77,2
78,3
79,2
80,3
81,3
82,3
83,3
84,0
85,3
86,4
87,1
88,4
89,3
90,1
91,4
92,0
93,1
94,3
95,4
96,3
97,4
98,3
99,2
100,3
101,4
102,1
103,2
104,3
105,3
106,4
107,1
108,2
109,4
110,2
111,1
112,2
113,0
114,3
115,3
116,4
117,3
118,2
119,0
120,0
121,0
122,3
123,0
124,0
125,1
126,1
127,2
128,0
129,2
130,4
131,0
132,3
133,2
134,4
135,3
136,3
137,4
138,0
139,3
140,3
141,3
142,2
143,4
144,2
145,4
146,4
147,1
148,3
149,2
150,1
151,1
152,4
153,3
154,1
155,1
156,2
157,1
158,0
159,3
160,4
161,0
162,0
163,4
164,0
165,3
166,0
167,4
168,0
169,0
170,3
171,3
172,4
173,1
174,3
175,4
176,1
177,2
178,1
179,3
180,4
181,4
182,1
183,4
184,0
185,1
186,0
187,1
188,1
189,3
190,1
191,0
192,3
193,2
194,3
195,3
196,4
197,3
198,3
199,4
200,2
201,4
202,4
203,0
204,4
205,0
206,1
207,3
208,4
209,1
210,1
211,4
212,4
213,0
214,4
215,2
216,2
217,1
218,3
219,4
220,2
221,4
222,4
223,4
224,0
225,3
226,4
227,2
228,1
229,3
230,1
231,0
232,1
233,4
234,0
235,4
236,2
237,1
238,0
239,2
240,1
241,1
242,3
243,3
244,1
245,0
246,2
247,4
248,4
249,0
250,4
251,1
252,2
253,3
254,3
255,0
256,4
257,1
258,3
259,1
260,2
261,1
262,3
263,3
264,0
265,4
266,3
267,0
268,4
269,2
270,4
271,1
272,3
273,3
274,2
275,1
276,3
277,3
278,4
279,1
280,3
281,1
282,0
283,3
284,3
285,2
286,2
287,3
288,3
289,3
290,4
291,3
292,0
293,3
294,0
295,2
296,0
297,2
298,4
299,0
300,2
301,2
302,3
303,3
304,0
305,1
306,1
307,0
308,3
309,1
310,2
311,0
312,4
313,2
314,1
315,2
316,2
317,3
318,0
319,4
320,1
321,2
322,2
323,4
324,3
325,1
326,0
327,1
328,2
329,1
330,2
331,1
332,4
333,1
334,3
335,2
336,4
337,0
338,2
339,1
340,4
341,4
342,4
343,1
344,3
345,0
346,1
347,2
348,0
349,2
350,2
351,1
352,4
353,4
354,0
355,1
356,0
357,2
358,2
359,0
360,4
361,1
362,2
363,3
364,4
365,2
366,2
367,1
368,0
369,2
370,4
371,2
372,1
373,1
374,0
375,0
376,3
377,1
378,1
379,3
380,0
381,2
382,1
383,3
384,2
385,1
386,2
387,1
388,4
389,3
390,2
391,4
392,1
393,1
394,2
395,0
396,1
397,3
398,0
399,3
400,2
401,1
402,4
403,2
404,3
405,1
406,3
407,0
408,3
409,3
410,0
411,2
412,1
413,2
414,4
415,3
416,1
417,0
418,1
419,3
420,2
421,1
422,2
423,0
424,4
425,4
426,0
427,0
428,3
429,1
430,4
431,4
432,1
433,0
434,0
435,2
436,0
437,4
438,4
439,1
440,1
441,0
442,2
443,0
444,4
445,1
446,3
447,0
448,3
449,2
450,3
451,2
452,1
453,3
454,3
455,1
456,4
457,0
458,0
459,0
460,1
461,4
462,4
463,2
464,4
465,0
466,0
467,2
468,2
469,2
470,3
471,4
472,1
473,4
474,4
475,1
476,1
477,1
478,4
479,1
480,4
481,0
482,2
483,0
484,2
485,2
486,2
487,2
488,2
489,3
490,2
491,4
492,3
493,0
494,0
495,1
496,3
497,2
498,2
499,0
500,3
501,3
502,0
503,0
504,1
505,2
506,4
507,1
508,1
509,3
510,1
511,4
512,1
513,2
514,2
515,3
516,1
517,1
518,2
519,3
520,0
521,2
522,0
523,3
524,2
525,2
526,4
527,2
528,2
529,4
530,3
531,2
532,2
533,4
534,4
535,1
536,1
537,1
538,0
539,1
540,2
541,4
542,0
543,2
544,4
545,3
546,2
547,2
548,3
549,1
550,4
551,3
552,2
553,3
554,3
555,3
556,4
557,3
558,0
559,3
560,3
561,0
562,1
563,0
564,2
565,1
566,3
567,0
568,4
569,2
570,1
571,2
572,2
573,1
574,1
575,2
576,0
577,4
578,2
579,0
580,4
581,1
582,3
583,4
584,1
585,2
586,2
587,1
588,0
589,3
590,4
591,4
592,4
593,2
594,4
595,3
596,2
597,0
598,4
599,3
600,0
601,0
602,3
603,2
604,3
605,3
606,0
607,0
608,3
609,2
610,2
611,3
612,0
613,3
614,4
615,3
616,0
617,3
618,0
619,2
620,3
621,1
622,2
623,4
624,1
625,3
626,4
627,3
628,3
629,4
630,2
631,4
632,2
633,1
634,2
635,2
636,4
637,0
638,4
639,2
640,0
641,4
642,4
643,2
644,3
645,3
646,4
647,3
648,3
649,2
650,0
651,3
652,3
653,3
654,2
655,2
656,2
657,3
658,3
659,1
660,4
661,2
662,4
663,4
664,4
665,2
666,2
667,4
668,0
669,4
670,1
671,3
672,0
673,1
674,1
675,2
676,4
677,4
678,3
679,4
680,1
681,1
682,3
683,0
684,3
685,0
686,1
687,1
688,2
689,4
690,0
691,3
692,1
693,3
694,4
695,2
696,3
697,2
698,3
699,4
700,2
701,1
702,0
703,0
704,4
705,2
706,1
707,3
708,3
709,1
710,1
711,1
712,0
713,0
714,4
715,0
716,1
717,3
718,1
719,4
720,4
721,4
722,4
723,0
724,1
725,4
726,0
727,0
728,3
729,3
730,3
731,0
732,4
733,0
734,2
735,2
736,0
737,3
738,1
739,3
740,2
741,0
742,4
743,1
744,0
745,2
746,1
747,3
748,1
749,1
750,4
751,3
752,4
753,4
754,2
755,1
756,2
757,0
758,4
759,0
760,0
761,1
762,2
763,2
764,0
765,2
766,2
767,3
768,3
769,1
770,4
771,4
772,4
773,4
774,1
775,0
776,1
777,0
778,0
779,1
780,4
781,4
782,1
783,1
784,0
785,0
786,1
787,2
788,4
789,0
790,0
791,1
792,2
793,4
794,4
795,0
796,4
797,2
798,3
799,4
800,3
801,1
802,0
803,3
804,2
805,2
806,1
807,2
808,2
809,1
810,4
811,4
812,4
813,3
814,4
815,4
816,4
817,2
818,4
819,3
820,4
821,1
822,3
823,3
824,3
825,3
826,2
827,0
828,0
829,2
830,1
831,2
832,2
833,2
834,0
835,4
836,1
837,4
838,2
839,2
840,0
841,1
842,0
843,4
844,0
845,2
846,4
847,1
848,2
849,4
850,4
851,0
852,1
853,0
854,0
855,3
856,0
857,0
858,3
859,1
860,3
861,0
862,3
863,4
864,2
865,4
866,3
867,2
868,1
869,3
870,2
871,4
872,1
873,4
874,1
875,4
876,3
877,3
878,3
879,4
880,2
