row_id,clarity,n_tokens
0,c5,909
1,c1,486
2,c1,616
3,c234,1331
4,c234,284
5,c1,418
6,c234,259
7,c234,129
8,c1,61
9,c234,241
10,c234,533
11,c234,1095
12,c1,192
13,c234,353
14,c234,32
15,c5,539
16,c234,428
17,c1,459
18,c1,114
19,c1,1215
20,c1,159
21,c1,499
22,c234,786
23,c5,205
24,c234,429
25,c1,780
26,c5,59
27,c1,278
28,c1,983
29,c1,25
30,c1,173
31,c5,378
32,c5,269
33,c1,377
34,c5,413
35,c5,554
36,c5,142
37,c5,435
38,c5,41
39,c5,70
40,c234,262
41,c5,319
42,c234,606
43,c5,99
44,c234,596
45,c5,216
46,c1,45
47,c5,634
48,c5,163
49,c234,469
50,c234,123
51,c234,15
52,c5,55
53,c234,709
54,c5,45
55,c1,798
56,c5,190
57,c1,574
58,c234,26
59,c1,28
60,c5,333
61,c5,364
62,c1,1388
63,c234,116
64,c1,194
65,c234,427
66,c1,262
67,c1,360
68,c234,256
69,c234,1690
70,c5,51
71,c1,72
72,c234,526
73,c1,192
74,c234,128
75,c234,458
76,c234,259
77,c234,309
78,c234,488
79,c234,271
80,c1,758
81,c1,222
82,c234,174
83,c234,519
84,c234,78
85,c5,261
86,c1,650
87,c1,428
88,c5,610
89,c1,137
90,c5,440
91,c1,2528
92,c1,51
93,c1,202
94,c1,502
95,c1,232
96,c234,60
97,c5,1515
98,c5,91
99,c5,291
100,c234,459
101,c234,83
102,c234,1186
103,c5,664
104,c234,339
105,c1,776
106,c1,946
107,c234,70
108,c5,105
109,c234,236
110,c5,82
111,c5,197
112,c234,93
113,c5,273
114,c1,526
115,c234,130
116,c5,925
117,c1,259
118,c5,91
119,c234,949
120,c5,138
121,c1,345
122,c234,756
123,c234,415
124,c1,415
125,c5,95
126,c234,149
127,c5,55
128,c234,326
129,c1,626
130,c234,698
131,c5,321
132,c234,177
133,c234,432
134,c1,176
135,c1,559
136,c1,354
137,c234,175
138,c5,153
139,c234,823
140,c234,169
141,c5,338
142,c234,622
143,c5,416
144,c1,1328
145,c1,136
146,c1,1332
147,c5,708
148,c1,449
149,c234,122
150,c234,2392
151,c234,164
152,c1,904
153,c5,97
154,c5,35
155,c234,171
156,c5,486
157,c5,144
158,c1,415
159,c5,17
160,c5,123
161,c234,301
162,c1,142
163,c234,155
164,c1,573
165,c234,145
166,c1,354
167,c1,398
168,c5,384
169,c1,28
170,c5,577
171,c234,606
172,c5,101
173,c234,460
174,c1,506
175,c1,477
176,c5,771
177,c5,462
178,c1,187
179,c234,441
180,c234,430
181,c1,195
182,c1,1577
183,c234,204
184,c234,304
185,c5,264
186,c234,232
187,c5,191
188,c234,633
189,c234,64
190,c1,919
191,c5,610
192,c234,88
193,c234,305
194,c234,323
195,c234,125
196,c1,139
197,c1,289
198,c234,322
199,c234,332
200,c234,406
201,c5,255
202,c5,589
203,c5,992
204,c1,168
205,c234,16
206,c1,428
207,c5,123
208,c5,218
209,c5,146
210,c5,298
211,c1,174
212,c1,69
213,c1,164
214,c1,729
215,c1,250
216,c1,1790
217,c234,922
218,c5,215
219,c234,160
220,c5,230
221,c5,51
222,c5,175
223,c5,991
224,c5,335
225,c234,495
226,c234,290
227,c1,682
228,c1,984
229,c1,671
230,c234,132
231,c1,513
232,c1,144
233,c234,96
234,c234,102
235,c234,61
236,c234,29
237,c234,432
238,c234,533
239,c5,393
240,c234,622
241,c1,895
242,c5,192
243,c5,218
244,c234,470
245,c5,114
246,c1,550
247,c1,331
248,c1,359
249,c5,189
250,c5,192
251,c5,300
252,c234,554
