row_index,classe_real,predicao,fold
0,c5,c1,3
1,c1,c1,3
2,c1,c1,4
3,c234,c1,4
4,c234,c5,0
5,c1,c234,1
6,c234,c5,0
7,c234,c1,3
8,c1,c5,2
9,c234,c234,4
10,c234,c234,4
11,c234,c234,3
12,c1,c5,4
13,c234,c1,4
14,c234,c1,2
15,c5,c1,1
16,c234,c1,1
17,c1,c1,4
18,c1,c1,2
19,c1,c1,3
20,c1,c5,3
21,c1,c234,0
22,c234,c234,2
23,c5,c5,4
24,c234,c234,3
25,c1,c234,1
26,c5,c5,1
27,c1,c1,0
28,c1,c234,2
29,c1,c5,1
30,c1,c1,4
31,c5,c234,1
32,c5,c234,1
33,c1,c1,0
34,c5,c5,3
35,c5,c5,3
36,c5,c1,3
37,c5,c5,0
38,c5,c5,1
39,c5,c5,3
40,c234,c234,0
41,c5,c1,3
42,c234,c5,1
43,c5,c5,4
44,c234,c5,4
45,c5,c5,0
46,c1,c234,4
47,c5,c5,2
48,c5,c1,0
49,c234,c234,2
50,c234,c5,4
51,c234,c1,0
52,c5,c5,4
53,c234,c1,2
54,c5,c234,3
55,c1,c234,1
56,c5,c5,1
57,c1,c1,2
58,c234,c5,4
59,c1,c1,4
60,c5,c5,3
61,c5,c5,0
62,c1,c5,2
63,c234,c234,3
64,c1,c1,1
65,c234,c1,3
66,c1,c234,1
67,c1,c5,0
68,c234,c234,1
69,c234,c5,3
70,c5,c5,4
71,c1,c1,4
72,c234,c234,4
73,c1,c1,0
74,c234,c5,3
75,c234,c1,4
76,c234,c1,0
77,c234,c5,2
78,c234,c234,3
79,c234,c5,2
80,c1,c234,3
81,c1,c234,3
82,c234,c234,3
83,c234,c234,3
84,c234,c5,0
85,c5,c1,3
86,c1,c5,4
87,c1,c1,1
88,c5,c234,4
89,c1,c5,3
90,c5,c234,1
91,c1,c1,4
92,c1,c1,0
93,c1,c5,1
94,c1,c234,3
95,c1,c1,4
96,c234,c1,3
97,c5,c5,4
98,c5,c5,3
99,c5,c234,2
100,c234,c234,3
101,c234,c1,4
102,c234,c234,1
103,c5,c234,2
104,c234,c1,3
105,c1,c5,3
106,c1,c1,4
107,c234,c1,1
108,c5,c1,2
109,c234,c5,4
110,c5,c5,2
111,c5,c5,1
112,c234,c5,2
113,c5,c234,0
114,c1,c1,3
115,c234,c1,3
116,c5,c5,4
117,c1,c1,3
118,c5,c234,2
119,c234,c234,0
120,c5,c234,0
121,c1,c1,0
122,c234,c1,3
123,c234,c1,0
124,c1,c1,0
125,c5,c5,1
126,c234,c5,1
127,c5,c5,2
128,c234,c5,0
129,c1,c1,2
130,c234,c234,4
131,c5,c234,0
132,c234,c234,3
133,c234,c234,2
134,c1,c1,4
135,c1,c1,3
136,c1,c1,3
137,c234,c1,4
138,c5,c5,0
139,c234,c234,3
140,c234,c5,3
141,c5,c234,3
142,c234,c234,2
143,c5,c234,4
144,c1,c1,2
145,c1,c5,4
146,c1,c1,4
147,c5,c5,1
148,c1,c5,3
149,c234,c1,2
150,c234,c234,1
151,c234,c5,1
152,c1,c1,4
153,c5,c5,3
154,c5,c234,1
155,c234,c234,1
156,c5,c1,2
157,c5,c1,1
158,c1,c1,0
159,c5,c234,3
160,c5,c5,4
161,c234,c1,0
162,c1,c1,0
163,c234,c5,4
164,c1,c234,0
165,c234,c234,3
166,c1,c1,0
167,c1,c234,4
168,c5,c234,0
169,c1,c1,0
170,c5,c1,3
171,c234,c234,3
172,c5,c5,4
173,c234,c234,1
174,c1,c5,3
175,c1,c1,4
176,c5,c1,1
177,c5,c234,2
178,c1,c1,1
179,c234,c5,3
180,c234,c5,4
181,c1,c234,4
182,c1,c234,1
183,c234,c1,4
184,c234,c1,0
185,c5,c1,1
186,c234,c234,0
187,c5,c1,1
188,c234,c234,1
189,c234,c234,3
190,c1,c1,1
191,c5,c234,0
192,c234,c234,3
193,c234,c234,2
194,c234,c5,3
195,c234,c1,3
196,c1,c1,4
197,c1,c1,3
198,c234,c234,3
199,c234,c1,4
200,c234,c5,2
201,c5,c1,4
202,c5,c5,4
203,c5,c1,0
204,c1,c5,4
205,c234,c5,0
206,c1,c1,1
207,c5,c5,3
208,c5,c5,4
209,c5,c1,1
210,c5,c234,1
211,c1,c5,4
212,c1,c5,4
213,c1,c5,0
214,c1,c234,4
215,c1,c1,2
216,c1,c1,2
217,c234,c1,1
218,c5,c1,3
219,c234,c5,4
220,c5,c5,2
221,c5,c5,4
222,c5,c1,4
223,c5,c234,4
224,c5,c5,0
225,c234,c5,3
226,c234,c5,4
227,c1,c1,2
228,c1,c1,1
229,c1,c1,3
230,c234,c234,1
231,c1,c5,0
232,c1,c1,1
233,c234,c1,4
234,c234,c234,0
235,c234,c1,4
236,c234,c5,2
237,c234,c1,1
238,c234,c1,0
239,c5,c5,2
240,c234,c234,1
241,c1,c1,1
242,c5,c234,3
243,c5,c234,3
244,c234,c1,1
245,c5,c5,0
246,c1,c1,2
247,c1,c5,4
248,c1,c5,4
249,c5,c234,0
250,c5,c5,4
251,c5,c5,1
252,c234,c5,2
253,c234,c234,3
254,c234,c5,3
255,c5,c5,0
256,c5,c5,4
257,c234,c1,1
258,c5,c5,3
259,c5,c5,1
260,c5,c1,2
261,c1,c234,1
262,c5,c1,3
263,c5,c1,3
264,c234,c234,0
265,c234,c5,4
266,c234,c5,3
267,c5,c234,0
268,c5,c5,4
269,c1,c1,2
270,c234,c234,4
271,c1,c1,1
272,c1,c234,3
273,c5,c234,3
274,c234,c5,2
275,c5,c5,1
276,c234,c5,3
277,c5,c5,3
278,c5,c5,4
279,c234,c5,1
280,c5,c1,3
281,c5,c234,1
282,c1,c5,0
283,c5,c234,3
284,c5,c1,3
285,c5,c5,2
286,c234,c1,2
287,c1,c5,3
288,c1,c5,3
289,c234,c1,3
290,c1,c234,4
291,c234,c5,3
292,c234,c1,0
293,c5,c5,3
294,c5,c5,0
295,c1,c5,2
296,c1,c1,0
297,c5,c234,2
298,c234,c234,4
299,c1,c1,0
300,c1,c1,2
301,c234,c5,2
302,c234,c234,3
303,c5,c5,3
304,c5,c5,0
305,c234,c5,1
306,c234,c1,1
307,c5,c234,0
308,c1,c5,3
309,c1,c234,1
310,c1,c234,2
311,c5,c234,0
312,c234,c234,4
313,c1,c1,2
314,c234,c234,1
315,c5,c5,2
316,c5,c234,2
317,c5,c5,3
318,c234,c1,0
319,c234,c5,4
320,c5,c1,1
321,c5,c5,2
322,c5,c5,2
323,c234,c1,4
324,c5,c5,3
325,c1,c234,1
326,c1,c1,0
327,c5,c5,1
328,c1,c1,2
329,c5,c1,1
330,c1,c5,2
331,c1,c1,1
332,c1,c5,4
333,c5,c234,1
334,c234,c1,3
335,c1,c1,2
336,c5,c5,4
337,c5,c234,0
338,c234,c5,2
339,c1,c234,1
340,c1,c1,4
341,c5,c5,4
342,c5,c5,4
343,c234,c234,1
344,c5,c5,3
345,c234,c5,0
346,c5,c5,1
347,c5,c5,2
348,c5,c234,0
349,c5,c234,2
350,c5,c5,2
351,c234,c234,1
352,c1,c1,4
353,c1,c1,4
354,c1,c1,0
355,c5,c234,1
356,c5,c1,0
357,c1,c1,2
358,c234,c1,2
359,c234,c1,0
360,c5,c1,4
361,c234,c234,1
362,c1,c5,2
363,c234,c234,3
364,c234,c5,4
365,c1,c5,2
366,c1,c1,2
367,c1,c1,1
368,c5,c234,0
369,c5,c234,2
370,c5,c5,4
371,c5,c234,2
372,c234,c234,1
