fold,label_smoothing_factor,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.1,1.0751535292288557,3.386557579040528,1.5014925373134328e-05,1.0,1005,,,,,,,,,,,
0,0.1,,,,1.0,1005,1.0462571382522583,0.4623040557352575,0.4492590608124422,24.9648,160.987,20.148,,,,,
0,0.1,1.0179677175645212,5.895506858825684,1.4925373134328357e-08,2.0,2010,,,,,,,,,,,
0,0.1,,,,2.0,2010,1.0514683723449707,0.4598158745956706,0.4484826666131075,27.3259,147.077,18.407,,,,,
0,0.1,,,,2.0,2010,,,,,,,801.2746,40.119,2.509,4229021963142144.0,1.0465606233966884
1,0.1,1.0687261932524876,4.113880634307861,1.5014925373134328e-05,1.0,1005,,,,,,,,,,,
1,0.1,,,,1.0,1005,1.0502790212631226,0.4530977855187857,0.4484257651684907,28.8294,139.406,17.447,,,,,
1,0.1,1.0017878138603855,8.033197402954102,1.4925373134328357e-08,2.0,2010,,,,,,,,,,,
1,0.1,,,,2.0,2010,1.0458900928497314,0.4739985070913162,0.4726541823768062,27.5839,145.701,18.235,,,,,
1,0.1,,,,2.0,2010,,,,,,,832.6852,38.605,2.414,4229021963142144.0,1.0352570035564366
2,0.1,1.069829441658893,6.389003753662109,1.5014925373134328e-05,1.0,1005,,,,,,,,,,,
2,0.1,,,,1.0,1005,1.0718979835510254,0.4399104254789748,0.4288293111100601,26.388,152.304,19.062,,,,,
2,0.1,1.0120228326142724,5.431049346923828,1.4925373134328357e-08,2.0,2010,,,,,,,,,,,
2,0.1,,,,2.0,2010,1.058395266532898,0.4533466036327445,0.4467318674868542,25.9466,154.895,19.386,,,,,
2,0.1,,,,2.0,2010,,,,,,,800.4073,40.162,2.511,4229021963142144.0,1.0409261371365828
3,0.1,1.0720639964241294,2.885596513748169,1.5014925373134328e-05,1.0,1005,,,,,,,,,,,
3,0.1,,,,1.0,1005,1.046846866607666,0.4561752988047808,0.4483383320230629,26.1003,153.868,19.234,,,,,
3,0.1,1.006919382579291,4.714262008666992,1.4925373134328357e-08,2.0,2010,,,,,,,,,,,
3,0.1,,,,2.0,2010,1.0473299026489258,0.4663844621513944,0.4664044551927587,25.891,155.112,19.389,,,,,
3,0.1,,,,2.0,2010,,,,,,,792.6655,40.562,2.536,4229811303395328.0,1.03949168950171
4,0.1,1.0689075375077737,5.463475227355957,1.5014925373134328e-05,1.0,1005,,,,,,,,,,,
4,0.1,,,,1.0,1005,1.0507045984268188,0.45135605872107487,0.4529853593720951,25.6113,156.923,19.64,,,,,
4,0.1,1.0036111556475436,4.828561305999756,1.4925373134328357e-08,2.0,2010,,,,,,,,,,,
4,0.1,,,,2.0,2010,1.0539755821228027,0.4570788753421249,0.45287756728189743,25.9256,155.02,19.402,,,,,
4,0.1,,,,2.0,2010,,,,,,,792.2211,40.577,2.537,4229021963142144.0,1.0362593465776586
