row_id,clarity,n_tokens
0,c5,559
1,c1,396
2,c1,409
3,c234,805
4,c234,173
5,c1,281
6,c234,169
7,c234,81
8,c1,36
9,c234,157
10,c234,362
11,c234,656
12,c1,140
13,c234,232
14,c234,23
15,c5,326
16,c234,290
17,c1,312
18,c1,84
19,c1,798
20,c1,101
21,c1,327
22,c234,516
23,c5,126
24,c234,307
25,c1,483
26,c5,38
27,c1,192
28,c1,733
29,c1,23
30,c1,112
31,c5,231
32,c5,217
33,c1,247
34,c5,274
35,c5,337
36,c5,94
37,c5,276
38,c5,32
39,c5,57
40,c234,163
41,c5,206
42,c234,420
43,c5,66
44,c234,365
45,c5,134
46,c1,29
47,c5,423
48,c5,118
49,c234,317
50,c234,81
51,c234,9
52,c5,44
53,c234,470
54,c5,39
55,c1,540
56,c5,117
57,c1,394
58,c234,21
59,c1,18
60,c5,216
61,c5,250
62,c1,880
63,c234,92
64,c1,126
65,c234,280
66,c1,179
67,c1,231
68,c234,181
69,c234,1288
70,c5,30
71,c1,45
72,c234,317
73,c1,133
74,c234,113
75,c234,329
76,c234,153
77,c234,184
78,c234,324
79,c234,172
80,c1,464
81,c1,140
82,c234,120
83,c234,317
84,c234,53
85,c5,216
86,c1,458
87,c1,290
88,c5,392
89,c1,87
90,c5,280
91,c1,1523
92,c1,36
93,c1,148
94,c1,362
95,c1,152
96,c234,49
97,c5,960
98,c5,64
99,c5,174
100,c234,301
101,c234,62
102,c234,760
103,c5,412
104,c234,215
105,c1,527
106,c1,585
107,c234,44
108,c5,66
109,c234,162
110,c5,48
111,c5,138
112,c234,73
113,c5,193
114,c1,365
115,c234,93
116,c5,600
117,c1,170
118,c5,75
119,c234,581
120,c5,85
121,c1,217
122,c234,513
123,c234,282
124,c1,282
125,c5,62
126,c234,105
127,c5,41
128,c234,216
129,c1,385
130,c234,445
131,c5,219
132,c234,119
133,c234,270
134,c1,113
135,c1,356
136,c1,228
137,c234,127
138,c5,102
139,c234,511
140,c234,127
141,c5,207
142,c234,400
143,c5,274
144,c1,801
145,c1,73
146,c1,1071
147,c5,513
148,c1,270
149,c234,74
150,c234,1551
151,c234,103
152,c1,554
153,c5,64
154,c5,31
155,c234,117
156,c5,303
157,c5,100
158,c1,282
159,c5,13
160,c5,67
161,c234,226
162,c1,83
163,c234,114
164,c1,362
165,c234,98
166,c1,196
167,c1,270
168,c5,230
169,c1,16
170,c5,358
171,c234,407
172,c5,66
173,c234,302
174,c1,317
175,c1,344
176,c5,499
177,c5,324
178,c1,131
179,c234,297
180,c234,290
181,c1,121
182,c1,1013
183,c234,150
184,c234,169
185,c5,140
186,c234,147
187,c5,119
188,c234,422
189,c234,45
190,c1,616
191,c5,412
192,c234,53
193,c234,215
194,c234,219
195,c234,86
196,c1,94
197,c1,188
198,c234,209
199,c234,212
200,c234,280
201,c5,182
202,c5,404
203,c5,615
204,c1,102
205,c234,10
206,c1,290
207,c5,89
208,c5,147
209,c5,116
210,c5,208
211,c1,119
212,c1,42
213,c1,119
214,c1,458
215,c1,182
216,c1,1108
217,c234,597
218,c5,178
219,c234,112
220,c5,156
221,c5,37
222,c5,129
223,c5,664
224,c5,226
225,c234,320
226,c234,174
227,c1,422
228,c1,632
229,c1,457
230,c234,80
231,c1,341
232,c1,100
233,c234,69
234,c234,79
235,c234,47
236,c234,20
237,c234,274
238,c234,389
239,c5,225
240,c234,418
241,c1,624
242,c5,134
243,c5,168
244,c234,303
245,c5,86
246,c1,371
247,c1,225
248,c1,240
249,c5,139
250,c5,130
251,c5,216
252,c234,378
253,c234,536
254,c234,115
255,c5,138
256,c5,46
257,c234,224
258,c5,103
259,c5,40
260,c5,264
261,c1,88
262,c5,62
263,c5,81
264,c234,335
265,c234,37
266,c234,397
267,c5,648
268,c5,423
269,c1,236
270,c234,113
271,c1,379
272,c1,1346
273,c5,100
274,c234,292
275,c5,32
276,c234,159
277,c5,35
278,c5,25
279,c234,155
280,c5,592
281,c5,1110
282,c1,498
283,c5,40
284,c5,23
285,c5,314
286,c234,488
287,c1,61
288,c1,133
289,c234,265
290,c1,1024
291,c234,321
292,c234,295
293,c5,244
294,c5,27
295,c1,86
296,c1,233
297,c5,601
298,c234,125
299,c1,64
300,c1,441
301,c234,177
302,c234,231
303,c5,31
304,c5,55
305,c234,220
306,c234,16
307,c5,344
308,c1,324
309,c1,121
310,c1,497
311,c5,339
312,c234,31
313,c1,148
314,c234,487
315,c5,28
316,c5,288
317,c5,33
318,c234,624
319,c234,145
320,c5,900
321,c5,197
322,c5,102
323,c234,31
324,c5,155
325,c1,372
326,c1,118
327,c5,143
328,c1,199
329,c5,107
330,c1,120
331,c1,66
332,c1,12
333,c5,145
334,c234,1080
335,c1,129
336,c5,145
337,c5,258
338,c234,174
339,c1,289
340,c1,201
341,c5,201
342,c5,49
343,c234,336
344,c5,66
345,c234,405
346,c5,220
347,c5,187
348,c5,439
349,c5,27
350,c5,21
351,c234,149
352,c1,48
353,c1,1210
354,c1,320
355,c5,207
356,c5,339
357,c1,905
358,c234,90
359,c234,258
360,c5,150
361,c234,305
362,c1,117
363,c234,225
364,c234,188
365,c1,50
366,c1,259
367,c1,247
368,c5,146
369,c5,188
370,c5,176
371,c5,50
372,c234,207
373,c5,357
374,c234,124
375,c1,616
376,c1,252
377,c1,135
378,c5,495
379,c5,635
380,c5,325
381,c1,497
382,c5,432
383,c1,684
384,c5,83
385,c234,374
386,c5,116
387,c5,433
388,c5,286
389,c234,395
390,c5,108
391,c5,177
392,c1,422
393,c234,138
394,c1,438
395,c5,29
396,c234,708
397,c1,117
398,c5,320
399,c234,270
400,c1,81
401,c234,546
402,c234,470
403,c234,354
404,c5,312
405,c234,449
406,c1,780
407,c1,235
408,c5,69
409,c1,24
410,c234,42
411,c5,287
412,c1,171
413,c1,211
414,c234,305
415,c234,97
